crno,company_name,enpEmpeCnt,enpBsadr,enpHmpgUrl,상장여부,top_region,employee_count
1101110028591,하이트진로(주),2935.0,서울특별시 강남구 영동대로 714,www.hitejinro.com,1.0,서울,2935.0
1101110037740,(주)도화엔지니어링,2912.0,서울특별시 강남구  삼성로 438 도화타워,www.dohwa.co.kr,1.0,서울,2912.0
1101110365797,(주)이랜드월드,2802.0,서울특별시 금천구 가산디지털1로 159,www.eland.co.kr,0.0,서울,2802.0
1101110003204,한화생명보험(주),2794.0,서울특별시 영등포구 63로 50,www.hanwhalife.com,1.0,서울,2794.0
1101110190340,삼호개발(주),2713.0,충청남도 당진시  면천면 면천로 183,www.samhodev.co.kr/,1.0,충남,2713.0
1101110028848,(주)신세계,2634.0,서울특별시 중구  소공로 63 (충무로1가) 신세계백화점건물 (주)신세계,www.shinsegae.com,1.0,서울,2634.0
1101110335649,삼성증권(주),2614.0,서울특별시 서초구 서초대로74길 11 (서초동),www.samsungpop.com,1.0,서울,2614.0
1101110514029,(주)대교,2359.0,서울특별시 관악구 보라매로 3길 23 (보라매동 729-21) 대교타워,www.daekyo.co.kr,1.0,서울,2359.0
1101110109854,(주)녹십자,2351.0,경기도 용인시 기흥구  이현로30번길 107(보정동),www.gcbiopharma.com,1.0,경기,2351.0
1101110026206,주식회사 DB하이텍,2221.0,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,1.0,경기,2221.0
1101110305288,(주)신세계푸드,2203.0,"서울특별시 성동구 성수일로 56 성수동BY센터 4-7층(성수동2가, 백영 성수빌딩)",www.shinsegaefood.com,0.0,서울,2203.0
1101110377203,현대카드주식회사,2192.0,서울특별시 영등포구 의사당대로 3 현대카드빌딩 1관,www.hyundaicard.com,0.0,서울,2192.0
1101110014409,(주)유한양행,2153.0,서울특별시 동작구  노량진로 74,www.yuhan.co.kr,1.0,서울,2153.0
1101110090558,에이치디현대오일뱅크 주식회사,2145.0,충청남도 서산시 대산읍 평신2로 182,www.hd-hyundaioilbank.co.kr,0.0,충남,2145.0
1101110658637,(주)포스코디엑스,2103.0,경상북도 포항시 남구 호동로 68,www.poscodx.com/kor/,1.0,경북,2103.0
1101110168404,고려아연(주),2054.0,서울특별시 종로구 종로33 (청진동) -,www.koreazinc.co.kr,1.0,서울,2054.0
1101110346901,삼성카드(주),2033.0,서울특별시 중구  세종대로 67,www.samsungcard.co.kr,1.0,서울,2033.0
1101110208127,(주)엘엑스판토스,1986.0,서울특별시 종로구 새문안로 58,www.lxpantos.com,0.0,서울,1986.0
1101110033722,롯데푸드(주),1940.0,서울특별시 영등포구 양평로19길 19 -,www.lottefoods.co.kr,0.0,서울,1940.0
1101110193740,에이치엠엠(주),1933.0,부산광역시 동구 중앙대로 244 -,www.hmm21.com,1.0,부산,1933.0
1101110145519,(주)호텔신라,1910.0,서울특별시 중구 동호로 249 (주) 호텔신라,www.hotelshilla.net,1.0,서울,1910.0
1101110038326,(주)한국종합기술,1907.0,경기도 하남시 덕풍동로 111-21 (덕풍동),www.kecc.co.kr,1.0,경기,1907.0
1101110042492,유안타증권(주),1777.0,서울특별시 영등포구 국제금융로 39 여의도동 앵커원,www.yuantakorea.com,1.0,서울,1777.0
