id,crno,name,address,status,query_address,matched_address,address_type,latitude,longitude
parent_company:1101110609185,1101110609185,(주)프라코,경기도 화성시 남양읍 현대기아로 679-24 (북양리),ok,경기도 화성시 남양읍 현대기아로 679-24 (북양리),경기 화성시 만세구 남양읍 현대기아로 679-24,ROAD_ADDR,37.210055390052,126.853539256067
parent_company:1101110018592,1101110018592,(주)프리티,서울특별시 금천구 디지털로 130 남성프라자 613호,ok,서울특별시 금천구 디지털로 130 남성프라자 613호,서울 금천구 디지털로 130,ROAD_ADDR,37.4754518857631,126.881874389775
parent_company:1101110155378,1101110155378,(주)피엔풍년,경기도 안산시 단원구 별망로 620,ok,경기도 안산시 단원구 별망로 620,경기 안산시 단원구 별망로 620,ROAD_ADDR,37.2999500937496,126.793640165956
parent_company:1101114382878,1101114382878,(주)피제이메탈,서울특별시 강남구 테헤란로81길 13삼성동 동원빌딩 11층,ok,서울특별시 강남구 테헤란로81길 13삼성동 동원빌딩 11층,서울 강남구 테헤란로81길 13,ROAD_ADDR,37.5079699213978,127.056843073983
parent_company:2149110034430,2149110034430,(주)하림,전라북도 익산시 망성면 망성로 14 (주)하림,ok,전라북도 익산시 망성면 망성로 14 (주)하림,전북특별자치도 익산시 망성면 망성로 14,ROAD_ADDR,36.0761374434887,127.039993031434
parent_company:1601110003931,1601110003931,(주)하림지주,전라북도 익산시 중앙로 121 -,ok,전라북도 익산시 중앙로 121 -,전북특별자치도 익산시 중앙로 121,ROAD_ADDR,35.9374204624551,126.960109434754
parent_company:1101110101470,1101110101470,(주)한국전자홀딩스,서울특별시 서초구 마방로10길 5,ok,서울특별시 서초구 마방로10길 5,서울 서초구 마방로10길 5,ROAD_ADDR,37.4770639130867,127.043283577102
parent_company:1101110038326,1101110038326,(주)한국종합기술,경기도 하남시 덕풍동로 111-21 (덕풍동),ok,경기도 하남시 덕풍동로 111-21 (덕풍동),경기 하남시 덕풍동로 111-21,ROAD_ADDR,37.5518097197257,127.207695607299
parent_company:1101111258220,1101111258220,(주)한국토지신탁,서울특별시 강남구 테헤란로 137 코레이트타워,ok,서울특별시 강남구 테헤란로 137 코레이트타워,서울 강남구 테헤란로 137,ROAD_ADDR,37.5003740376418,127.034004521906
parent_company:1101110037005,1101110037005,(주)한독,서울특별시 강남구 테헤란로 132,ok,서울특별시 강남구 테헤란로 132,서울 강남구 테헤란로 132,ROAD_ADDR,37.4993192768461,127.033205638158
