id,crno,name,address,status,query_address,matched_address,address_type,latitude,longitude
subsidiary:name:에스프로젝트오일|address:주1,,에스프로젝트오일㈜,(주1),no_match,(주1),,,,
subsidiary:name:에스프로젝트올영|address:주1,,에스프로젝트올영㈜,(주1),no_match,(주1),,,,
subsidiary:name:에스프로젝트이슬|address:주1,,에스프로젝트이슬㈜,(주1),no_match,(주1),,,,
subsidiary:name:에스프로젝트이슬홀딩스|address:주1,,에스프로젝트이슬홀딩스㈜,(주1),no_match,(주1),,,,
subsidiary:name:에스프로젝트자리츠|address:주1,,에스프로젝트자리츠,(주1),no_match,(주1),,,,
subsidiary:name:에스프로젝트피이|address:주1,,에스프로젝트피이,(주1),no_match,(주1),,,,
subsidiary:name:에스플래닛구호|address:전북부안군,,에스플래닛구호 주식회사,전북 부안군,ok,전북 부안군,전북특별자치도 부안군,REGION,35.7316577924641,126.733011321782
subsidiary:name:에스플래닛삼십호|address:대전유성구,,에스플래닛삼십호 주식회사,대전 유성구,ok,대전 유성구,대전 유성구,REGION,36.3622851114387,127.356257593324
subsidiary:name:에스플래닛삼호|address:충남금산군,,에스플래닛삼호 주식회사,충남 금산군,ok,충남 금산군,충남 금산군,REGION,36.1088634036971,127.48797455592
subsidiary:name:에스플래닛십구호|address:충북영동군,,에스플래닛십구호 주식회사,충북 영동군,ok,충북 영동군,충북 영동군,REGION,36.1749928212643,127.783438619236
subsidiary:name:에스플래닛십이호|address:경북영주시,,에스플래닛십이호 주식회사,경북 영주시,ok,경북 영주시,경북 영주시,REGION,36.8056192756902,128.62393703546
subsidiary:name:에스플래닛십일호|address:경북영주시,,에스플래닛십일호 주식회사,경북 영주시,ok,경북 영주시,경북 영주시,REGION,36.8056192756902,128.62393703546
subsidiary:name:에스플래닛이십호|address:충북영동군,,에스플래닛이십호 주식회사,충북 영동군,ok,충북 영동군,충북 영동군,REGION,36.1749928212643,127.783438619236
subsidiary:name:에스플래닛이호|address:충남금산군,,에스플래닛이호 주식회사,충남 금산군,ok,충남 금산군,충남 금산군,REGION,36.1088634036971,127.48797455592
