crno,sbrdEnpNm,sbrdEnpMainBizCtt,domestic,name_norm,addr,region,sicNm,대분류
1101114566406,퍼시픽브릿지실크로드일반사모투자신탁제1호,투자펀드,국내,퍼시픽브릿지실크로드일반사모투자신탁제1호,서울특별시 강남구 영동대로511,서울,투자펀드,금융
1101114566406,베아투스공모주일반사모투자신탁제4호,투자펀드,국내,베아투스공모주일반사모투자신탁제4호,서울특별시 강남구 학동로 314 (영남빌딩),서울,투자펀드,금융
1101114566406,벤코어IPO일반사모투자신탁제2호,투자펀드,국내,벤코어IPO일반사모투자신탁제2호,서울특별시 강남구 도산대로 208 18층 1801호,서울,투자펀드,금융
1101114566406,비피공모주일반사모투자신탁2호,투자펀드,국내,비피공모주일반사모투자신탁2호,서울특별시 영등포구 국제금융로 20 율촌빌딩 11층 에이05호,서울,투자펀드,금융
1101114566406,삼성글로벌혁신치료제증권자투자신탁UH[주식]Cf,투자펀드,국내,삼성글로벌혁신치료제증권자투자신탁UH[주식]CF,서울특별시 서초구 서초대로74길 11 (삼성전자빌딩),서울,투자펀드,금융
1101114566406,아테나공모주일반사모투자신탁제1호,투자펀드,국내,아테나공모주일반사모투자신탁제1호,서울특별시 영등포구 여의나루로 77-1,서울,투자펀드,금융
1101114566406,에이플랜공모주일반사모투자신탁제2호,투자펀드,국내,에이플랜공모주일반사모투자신탁제2호,서울특별시 강남구 도산대로 326 11층 1101호(논현동 대동타워),서울,투자펀드,금융
1101114566406,유나이티드파트너스공모주일반사모투자신탁제6호,투자펀드,국내,유나이티드파트너스공모주일반사모투자신탁제6호,서울특별시 종로구 새문안로 76(금호아시아나본관) 12층,서울,투자펀드,금융
1101114566406,케이펙스공모주일반사모투자신탁제2호,투자펀드,국내,케이펙스공모주일반사모투자신탁제2호,서울특별시 영등포구 국제금융로 20 율촌빌딩 11층 에이01호,서울,투자펀드,금융
1101114566406,한백인컴형일반사모투자신탁제2호,투자펀드,국내,한백인컴형일반사모투자신탁제2호,서울특별시 영등포구 양산로 91,서울,투자펀드,금융
1101114566406,르퓨쳐공모주일반사모투자신탁제3호,투자펀드,국내,르퓨쳐공모주일반사모투자신탁제3호,서울특별시 서초구 서초대로 53길 28 백석빌딩 4층,서울,투자펀드,금융
1101114566406,삼천리미드스트림일반사모투자신탁제10호,투자펀드,국내,삼천리미드스트림일반사모투자신탁제10호,서울특별시 영등포구 국제금융로6길 42 삼천리빌딩,서울,투자펀드,금융
1101114566406,시그니처IPO일반사모투자신탁4호,투자펀드,국내,시그니처IPO일반사모투자신탁4호,서울특별시 영등포구 의사당대로1길 25 6층 (여의도동 하남빌딩),서울,투자펀드,금융
1101114566406,에이치원공모주일반사모투자신탁4호,투자펀드,국내,에이치원공모주일반사모투자신탁4호,서울특별시 마포구 마포대로 45 4층(도화동 일진빌딩),서울,투자펀드,금융
1101114566406,엑스포넨셜든든한IPO일반사모투자신탁제1호,투자펀드,국내,엑스포넨셜든든한IPO일반사모투자신탁제1호,서울특별시 영등포구 여의공원로 101 CCMM빌딩 7층 710A호,서울,투자펀드,금융
1101114566406,원에이츠공모주일반사모투자신탁제4호,투자펀드,국내,원에이츠공모주일반사모투자신탁제4호,서울특별시 영등포구 국제금융로 8길 25 906호(여의도동 주택건설회관),서울,투자펀드,금융
1101114566406,크라운락공모주플러스일반사모투자신탁제2호,투자펀드,국내,크라운락공모주플러스일반사모투자신탁제2호,서울특별시 종로구 새문안로 82 22층,서울,투자펀드,금융
1101114566406,페블즈공모주일반사모투자신탁제8호,투자펀드,국내,페블즈공모주일반사모투자신탁제8호,서울특별시 강남구 도산대로 330 (논현동 서림빌딩) 10 11층,서울,투자펀드,금융
1101114566406,페어웨이공모주일반사모투자신탁제3호,투자펀드,국내,페어웨이공모주일반사모투자신탁제3호,서울특별시 용산구 대사관로 31길 24 4층,서울,투자펀드,금융
1101114566406,한국밸류theonly일반사모투자신탁제1호,투자펀드,국내,한국밸류THEONLY일반사모투자신탁제1호,서울특별시 영등포구 국제금융로2길 28 현대차증권빌딩 16층 17층,서울,투자펀드,금융
1101114566406,사우스레이크제일차,자산유동화,국내,사우스레이크제일차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,메이플베이,자산유동화,국내,메이플베이,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
1101114566406,쥐피아이제육차,자산유동화,국내,쥐피아이제육차,서울특별시 영등포구 국제금융로 10 Three IFC,서울,자산유동화,금융
